0 loss is 7.003199577331543, paramters w:0.002723721554502845, b:-0.0019945858512073755
1 loss is 6.9918413162231445, paramters w:0.0054453639313578606, b:-0.003984319977462292
2 loss is 6.980513095855713, paramters w:0.00816492922604084, b:-0.005969213321805
3 loss is 6.969215393066406, paramters w:0.010882420465350151, b:-0.007949275895953178
4 loss is 6.957947731018066, paramters w:0.013597839511930943, b:-0.009924517944455147
5 loss is 6.946710109710693, paramters w:0.01631118915975094, b:-0.011894949711859226
6 loss is 6.9355034828186035, paramters w:0.019022472202777863, b:-0.013860581442713737
7 loss is 6.924326419830322, paramters w:0.02173169143497944, b:-0.015821423381567
8 loss is 6.913178443908691, paramters w:0.024438848719000816, b:-0.01777748577296734
9 loss is 6.902061462402344, paramters w:0.027143947780132294, b:-0.019728779792785645
10 loss is 6.890973091125488, paramters w:0.02984699048101902, b:-0.021675314754247665
11 loss is 6.8799147605896, paramters w:0.032547980546951294, b:-0.023617099970579147
12 loss is 6.868885040283203, paramters w:0.035246919840574265, b:-0.025554146617650986
13 loss is 6.857885837554932, paramters w:0.03794381022453308, b:-0.027486465871334076
14 loss is 6.846914768218994, paramters w:0.04063865542411804, b:-0.029414067044854164
15 loss is 6.835974216461182, paramters w:0.043331459164619446, b:-0.031336959451436996
16 loss is 6.825060844421387, paramters w:0.04602222144603729, b:-0.03325515240430832
17 loss is 6.8141770362854, paramters w:0.04871094599366188, b:-0.03516865894198418
18 loss is 6.803322792053223, paramters w:0.05139763280749321, b:-0.037077486515045166
19 loss is 6.792496681213379, paramters w:0.05408228933811188, b:-0.03898164629936218
20 loss is 6.781699180603027, paramters w:0.05676491558551788, b:-0.04088114574551582
21 loss is 6.770930290222168, paramters w:0.05944551154971123, b:-0.04277599975466728
22 loss is 6.760190010070801, paramters w:0.06212408468127251, b:-0.044666215777397156
23 loss is 6.749477386474609, paramters w:0.06480063498020172, b:-0.04655180126428604
24 loss is 6.73879337310791, paramters w:0.06747516244649887, b:-0.048432767391204834
25 loss is 6.728137016296387, paramters w:0.07014767080545425, b:-0.05030912533402443
26 loss is 6.7175092697143555, paramters w:0.07281816750764847, b:-0.05218088626861572
27 loss is 6.7069091796875, paramters w:0.07548665255308151, b:-0.05404805764555931
28 loss is 6.696336269378662, paramters w:0.07815312594175339, b:-0.05591065064072609
29 loss is 6.685792446136475, paramters w:0.08081759512424469, b:-0.057768672704696655
30 loss is 6.675274848937988, paramters w:0.08348006010055542, b:-0.059622135013341904
31 loss is 6.664784908294678, paramters w:0.08614052087068558, b:-0.06147104874253273
32 loss is 6.654322624206543, paramters w:0.08879897743463516, b:-0.06331542134284973
33 loss is 6.643887519836426, paramters w:0.09145543724298477, b:-0.0651552602648735
34 loss is 6.633480072021484, paramters w:0.094109907746315, b:-0.06699058413505554
35 loss is 6.623098850250244, paramters w:0.09676238149404526, b:-0.06882139295339584
36 loss is 6.612745761871338, paramters w:0.09941286593675613, b:-0.0706477016210556
37 loss is 6.602418422698975, paramters w:0.10206136107444763, b:-0.07246951758861542
38 loss is 6.592118740081787, paramters w:0.10470787435770035, b:-0.07428685575723648
39 loss is 6.581845283508301, paramters w:0.10735240578651428, b:-0.07609971612691879
40 loss is 6.571599006652832, paramters w:0.10999495536088943, b:-0.07790811359882355
41 loss is 6.561378479003906, paramters w:0.1126355305314064, b:-0.07971206307411194
42 loss is 6.551184177398682, paramters w:0.11527412384748459, b:-0.08151156455278397
43 loss is 6.541017055511475, paramters w:0.11791075021028519, b:-0.08330663293600082
44 loss is 6.530876159667969, paramters w:0.1205454021692276, b:-0.08509727567434311
45 loss is 6.520761013031006, paramters w:0.12317808717489243, b:-0.08688350766897202
46 loss is 6.510671138763428, paramters w:0.12580880522727966, b:-0.08866532891988754
47 loss is 6.500608921051025, paramters w:0.1284375637769699, b:-0.09044275432825089
48 loss is 6.49057149887085, paramters w:0.13106435537338257, b:-0.09221579134464264
49 loss is 6.480560302734375, paramters w:0.13368919491767883, b:-0.093984454870224
50 loss is 6.470574378967285, paramters w:0.1363120824098587, b:-0.09574874490499496
51 loss is 6.460614204406738, paramters w:0.13893301784992218, b:-0.09750867635011673
52 loss is 6.450678825378418, paramters w:0.14155200123786926, b:-0.09926426410675049
53 loss is 6.440769195556641, paramters w:0.14416903257369995, b:-0.10101550817489624
54 loss is 6.430885314941406, paramters w:0.14678411185741425, b:-0.10276242345571518
55 loss is 6.421026706695557, paramters w:0.14939725399017334, b:-0.1045050173997879
56 loss is 6.411192417144775, paramters w:0.15200845897197723, b:-0.10624329745769501
57 loss is 6.401383876800537, paramters w:0.15461772680282593, b:-0.10797727108001709
58 loss is 6.391600131988525, paramters w:0.15722505748271942, b:-0.10970695316791534
59 loss is 6.381841659545898, paramters w:0.15983045101165771, b:-0.11143235117197037
60 loss is 6.37210750579834, paramters w:0.1624339073896408, b:-0.11315347254276276
