91 loss is [2.29365503], paramters w:[2.56548305], b:[-0.21617233]
92 loss is [2.25869263], paramters w:[2.58419183], b:[-0.21518616]
93 loss is [2.22427257], paramters w:[2.60275324], b:[-0.21417645]
94 loss is [2.19038606], paramters w:[2.62116851], b:[-0.213144]
95 loss is [2.15702447], paramters w:[2.63943886], b:[-0.21208962]
96 loss is [2.12417933], paramters w:[2.65756551], b:[-0.21101406]
97 loss is [2.0918423], paramters w:[2.67554964], b:[-0.20991809]
98 loss is [2.06000521], paramters w:[2.69339246], b:[-0.20880245]
99 loss is [2.02866002], paramters w:[2.71109512], b:[-0.20766786]
100 loss is [1.99779883], paramters w:[2.72865881], b:[-0.20651502]
101 loss is [1.96741389], paramters w:[2.74608467], b:[-0.20534461]
102 loss is [1.93749758], paramters w:[2.76337384], b:[-0.20415731]
103 loss is [1.90804241], paramters w:[2.78052747], b:[-0.20295377]
104 loss is [1.87904102], paramters w:[2.79754666], b:[-0.20173462]
105 loss is [1.85048618], paramters w:[2.81443254], b:[-0.2005005]
106 loss is [1.82237079], paramters w:[2.83118619], b:[-0.19925201]
107 loss is [1.79468785], paramters w:[2.84780872], b:[-0.19798974]
108 loss is [1.76743051], paramters w:[2.86430121], b:[-0.19671427]
109 loss is [1.74059203], paramters w:[2.88066472], b:[-0.19542617]
110 loss is [1.71416575], paramters w:[2.89690032], b:[-0.19412598]
111 loss is [1.68814518], paramters w:[2.91300905], b:[-0.19281425]
112 loss is [1.6625239], paramters w:[2.92899196], b:[-0.1914915]
113 loss is [1.6372956], paramters w:[2.94485008], b:[-0.19015824]
114 loss is [1.6124541], paramters w:[2.96058444], b:[-0.18881497]
115 loss is [1.58799331], paramters w:[2.97619604], b:[-0.18746217]
116 loss is [1.56390724], paramters w:[2.99168589], b:[-0.18610032]
117 loss is [1.54019], paramters w:[3.00705499], b:[-0.18472989]
118 loss is [1.5168358], paramters w:[3.02230431], b:[-0.18335132]
119 loss is [1.49383895], paramters w:[3.03743485], b:[-0.18196505]
120 loss is [1.47119386], paramters w:[3.05244756], b:[-0.18057151]
121 loss is [1.44889501], paramters w:[3.0673434], b:[-0.17917113]
122 loss is [1.426937], paramters w:[3.08212333], b:[-0.1777643]
123 loss is [1.40531449], paramters w:[3.09678829], b:[-0.17635142]
124 loss is [1.38402226], paramters w:[3.11133921], b:[-0.17493289]
125 loss is [1.36305516], paramters w:[3.12577702], b:[-0.17350907]
126 loss is [1.34240811], paramters w:[3.14010263], b:[-0.17208034]
127 loss is [1.32207613], paramters w:[3.15431695], b:[-0.17064705]
128 loss is [1.30205433], paramters w:[3.16842089], b:[-0.16920956]
129 loss is [1.28233788], paramters w:[3.18241533], b:[-0.16776819]
130 loss is [1.26292203], paramters w:[3.19630116], b:[-0.16632329]
131 loss is [1.24380213], paramters w:[3.21007926], b:[-0.16487516]
132 loss is [1.22497358], paramters w:[3.2237505], b:[-0.16342414]
133 loss is [1.20643187], paramters w:[3.23731573], b:[-0.16197052]
134 loss is [1.18817255], paramters w:[3.25077582], b:[-0.16051459]
135 loss is [1.17019125], paramters w:[3.26413161], b:[-0.15905666]
136 loss is [1.15248368], paramters w:[3.27738393], b:[-0.15759699]
137 loss is [1.1350456], paramters w:[3.29053362], b:[-0.15613587]
138 loss is [1.11787284], paramters w:[3.30358151], b:[-0.15467356]
139 loss is [1.10096132], paramters w:[3.31652841], b:[-0.15321032]
140 loss is [1.084307], paramters w:[3.32937513], b:[-0.1517464]
141 loss is [1.06790591], paramters w:[3.34212247], b:[-0.15028205]
142 loss is [1.05175415], paramters w:[3.35477123], b:[-0.1488175]
143 loss is [1.03584788], paramters w:[3.3673222], b:[-0.14735299]
144 loss is [1.02018332], paramters w:[3.37977617], b:[-0.14588874]
145 loss is [1.00475676], paramters w:[3.39213389], b:[-0.14442498]
146 loss is [0.98956452], paramters w:[3.40439615], b:[-0.1429619]
147 loss is [0.97460301], paramters w:[3.41656371], b:[-0.14149973]
148 loss is [0.95986869], paramters w:[3.42863733], b:[-0.14003867]
149 loss is [0.94535806], paramters w:[3.44061774], b:[-0.1385789]
150 loss is [0.93106769], paramters w:[3.45250569], b:[-0.13712062]
151 loss is [0.9169942], paramters w:[3.46430193], b:[-0.13566401]
152 loss is [0.90313427], paramters w:[3.47600718], b:[-0.13420925]
153 loss is [0.88948462], paramters w:[3.48762215], b:[-0.13275651]
154 loss is [0.87604202], paramters w:[3.49914758], b:[-0.13130597]
155 loss is [0.86280331], paramters w:[3.51058418], b:[-0.12985778]
156 loss is [0.84976537], paramters w:[3.52193263], b:[-0.1284121]
157 loss is [0.83692512], paramters w:[3.53319366], b:[-0.1269691]
158 loss is [0.82427953], paramters w:[3.54436794], b:[-0.1255289]
159 loss is [0.81182564], paramters w:[3.55545617], b:[-0.12409167]
160 loss is [0.7995605], paramters w:[3.56645903], b:[-0.12265754]
161 loss is [0.78748124], paramters w:[3.57737719], b:[-0.12122664]
162 loss is [0.77558501], paramters w:[3.58821133], b:[-0.11979912]
163 loss is [0.76386902], paramters w:[3.59896211], b:[-0.11837508]
164 loss is [0.75233051], paramters w:[3.60963018], b:[-0.11695466]
165 loss is [0.74096679], paramters w:[3.6202162], b:[-0.11553798]
166 loss is [0.72977517], paramters w:[3.63072082], b:[-0.11412514]
167 loss is [0.71875304], paramters w:[3.64114468], b:[-0.11271627]
168 loss is [0.70789781], paramters w:[3.65148842], b:[-0.11131147]
169 loss is [0.69720693], paramters w:[3.66175267], b:[-0.10991084]
170 loss is [0.6866779], paramters w:[3.67193805], b:[-0.10851449]
171 loss is [0.67630826], paramters w:[3.68204518], b:[-0.10712251]
172 loss is [0.66609558], paramters w:[3.69207469], b:[-0.10573499]
173 loss is [0.65603746], paramters w:[3.70202718], b:[-0.10435202]
174 loss is [0.64613155], paramters w:[3.71190326], b:[-0.1029737]
175 loss is [0.63637554], paramters w:[3.72170352], b:[-0.1016001]
176 loss is [0.62676714], paramters w:[3.73142857], b:[-0.10023131]
177 loss is [0.61730412], paramters w:[3.741079], b:[-0.0988674]
178 loss is [0.60798425], paramters w:[3.75065538], b:[-0.09750845]
179 loss is [0.59880536], paramters w:[3.7601583], b:[-0.09615454]
180 loss is [0.5897653], paramters w:[3.76958834], b:[-0.09480572]
181 loss is [0.58086198], paramters w:[3.77894607], b:[-0.09346207]
182 loss is [0.5720933], paramters w:[3.78823205], b:[-0.09212365]
183 loss is [0.56345722], paramters w:[3.79744685], b:[-0.09079052]
184 loss is [0.55495173], paramters w:[3.80659102], b:[-0.08946274]
185 loss is [0.54657485], paramters w:[3.81566512], b:[-0.08814037]
186 loss is [0.53832461], paramters w:[3.82466969], b:[-0.08682346]
187 loss is [0.53019911], paramters w:[3.83360528], b:[-0.08551207]
188 loss is [0.52219643], paramters w:[3.84247243], b:[-0.08420623]
189 loss is [0.51431473], paramters w:[3.85127166], b:[-0.08290601]
190 loss is [0.50655216], paramters w:[3.86000352], b:[-0.08161144]
191 loss is [0.49890692], paramters w:[3.86866852], b:[-0.08032256]
192 loss is [0.49137723], paramters w:[3.8772672], b:[-0.07903943]
193 loss is [0.48396132], paramters w:[3.88580006], b:[-0.07776207]
194 loss is [0.47665749], paramters w:[3.89426761], b:[-0.07649052]
195 loss is [0.46946402], paramters w:[3.90267038], b:[-0.07522482]
196 loss is [0.46237925], paramters w:[3.91100886], b:[-0.073965]
197 loss is [0.45540153], paramters w:[3.91928355], b:[-0.07271109]
198 loss is [0.44852923], paramters w:[3.92749496], b:[-0.07146312]
199 loss is [0.44176075], paramters w:[3.93564356], b:[-0.07022112]
200 loss is [0.43509453], paramters w:[3.94372986], b:[-0.06898511]
201 loss is [0.42852901], paramters w:[3.95175433], b:[-0.06775512]
202 loss is [0.42206267], paramters w:[3.95971746], b:[-0.06653118]
203 loss is [0.41569401], paramters w:[3.96761972], b:[-0.06531329]
204 loss is [0.40942154], paramters w:[3.97546158], b:[-0.06410149]
205 loss is [0.40324381], paramters w:[3.98324352], b:[-0.06289579]
206 loss is [0.39715939], paramters w:[3.99096601], b:[-0.0616962]
207 loss is [0.39116686], paramters w:[3.99862949], b:[-0.06050275]
208 loss is [0.38526482], paramters w:[4.00623443], b:[-0.05931543]
209 loss is [0.37945192], paramters w:[4.01378129], b:[-0.05813428]
210 loss is [0.3737268], paramters w:[4.02127051], b:[-0.0569593]
211 loss is [0.36808813], paramters w:[4.02870254], b:[-0.05579049]
212 loss is [0.36253461], paramters w:[4.03607782], b:[-0.05462788]
213 loss is [0.35706494], paramters w:[4.0433968], b:[-0.05347145]
214 loss is [0.35167785], paramters w:[4.0506599], b:[-0.05232123]
215 loss is [0.34637211], paramters w:[4.05786757], b:[-0.05117722]
216 loss is [0.34114647], paramters w:[4.06502023], b:[-0.05003942]
217 loss is [0.33599973], paramters w:[4.07211831], b:[-0.04890783]
218 loss is [0.33093068], paramters w:[4.07916222], b:[-0.04778245]
219 loss is [0.32593817], paramters w:[4.0861524], b:[-0.04666329]
220 loss is [0.32102102], paramters w:[4.09308924], b:[-0.04555035]
221 loss is [0.3161781], paramters w:[4.09997317], b:[-0.04444363]
222 loss is [0.31140828], paramters w:[4.1068046], b:[-0.04334311]
223 loss is [0.30671047], paramters w:[4.11358393], b:[-0.04224881]
224 loss is [0.30208357], paramters w:[4.12031155], b:[-0.04116072]
225 loss is [0.29752651], paramters w:[4.12698788], b:[-0.04007882]
226 loss is [0.29303823], paramters w:[4.13361331], b:[-0.03900313]
227 loss is [0.2886177], paramters w:[4.14018823], b:[-0.03793362]
228 loss is [0.28426389], paramters w:[4.14671303], b:[-0.0368703]
229 loss is [0.27997579], paramters w:[4.15318809], b:[-0.03581316]
230 loss is [0.27575241], paramters w:[4.15961381], b:[-0.03476218]
231 loss is [0.27159277], paramters w:[4.16599056], b:[-0.03371736]
232 loss is [0.26749591], paramters w:[4.17231871], b:[-0.03267869]
233 loss is [0.26346088], paramters w:[4.17859865], b:[-0.03164616]
234 loss is [0.25948674], paramters w:[4.18483074], b:[-0.03061976]
235 loss is [0.25557257], paramters w:[4.19101535], b:[-0.02959947]
236 loss is [0.25171747], paramters w:[4.19715286], b:[-0.02858528]
237 loss is [0.24792055], paramters w:[4.20324361], b:[-0.02757718]
238 loss is [0.24418093], paramters w:[4.20928797], b:[-0.02657515]
239 loss is [0.24049774], paramters w:[4.21528631], b:[-0.02557919]
240 loss is [0.23687012], paramters w:[4.22123896], b:[-0.02458927]
241 loss is [0.23329725], paramters w:[4.22714629], b:[-0.02360539]
242 loss is [0.22977828], paramters w:[4.23300864], b:[-0.02262752]
243 loss is [0.22631242], paramters w:[4.23882636], b:[-0.02165565]
244 loss is [0.22289885], paramters w:[4.24459979], b:[-0.02068976]
245 loss is [0.21953679], paramters w:[4.25032927], b:[-0.01972984]
